Sample_name	Population_code
HGDP00001	BRA
HGDP00003	BRA
HGDP00005	BRA
HGDP00007	BRA
HGDP00009	BRA
HGDP00011	BRA
HGDP00013	BRA
HGDP00015	BRA
HGDP00017	BRA
HGDP00019	BRA
HGDP00021	BRA
HGDP00023	BRA
HGDP00025	BRA
HGDP00027	BRA
HGDP00029	BRA
HGDP00031	BRA
HGDP00033	BRA
HGDP00035	BRA
HGDP00037	BRA
HGDP00039	BRA
HGDP00041	BRA
HGDP00043	BRA
HGDP00045	BRA
HGDP00047	BRA
HGDP00049	BRA
HGDP00052	BAL
HGDP00054	BAL
HGDP00056	BAL
HGDP00057	BAL
HGDP00058	BAL
HGDP00060	BAL
HGDP00062	BAL
HGDP00064	BAL
HGDP00066	BAL
HGDP00068	BAL
HGDP00070	BAL
HGDP00072	BAL
HGDP00074	BAL
HGDP00076	BAL
HGDP00078	BAL
HGDP00080	BAL
HGDP00082	BAL
HGDP00086	BAL
HGDP00088	BAL
HGDP00090	BAL
HGDP00092	BAL
HGDP00094	BAL
HGDP00096	BAL
HGDP00098	BAL
HGDP00130	MAK
HGDP00131	MAK
HGDP00133	MAK
HGDP00134	MAK
HGDP00135	MAK
HGDP00136	MAK
HGDP00137	MAK
HGDP00139	MAK
HGDP00140	MAK
HGDP00141	MAK
HGDP00143	MAK
HGDP00144	MAK
HGDP00145	MAK
HGDP00146	MAK
HGDP00148	MAK
HGDP00149	MAK
HGDP00150	MAK
HGDP00151	MAK
HGDP00153	MAK
HGDP00154	MAK
HGDP00155	MAK
HGDP00157	MAK
HGDP00158	MAK
HGDP00160	MAK
HGDP00161	MAK
HGDP00163	SIN
HGDP00165	SIN
HGDP00167	SIN
HGDP00169	SIN
HGDP00171	SIN
HGDP00173	SIN
HGDP00175	SIN
HGDP00177	SIN
HGDP00179	SIN
HGDP00181	SIN
HGDP00183	SIN
HGDP00185	SIN
HGDP00187	SIN
HGDP00189	SIN
HGDP00191	SIN
HGDP00192	SIN
HGDP00195	SIN
HGDP00197	SIN
HGDP00199	SIN
HGDP00201	SIN
HGDP00205	SIN
HGDP00206	SIN
HGDP00208	SIN
HGDP00210	SIN
HGDP00213	PAT
HGDP00214	PAT
HGDP00216	PAT
HGDP00218	PAT
HGDP00222	PAT
HGDP00224	PAT
HGDP00226	PAT
HGDP00228	PAT
HGDP00230	PAT
HGDP00232	PAT
HGDP00234	PAT
HGDP00237	PAT
HGDP00239	PAT
HGDP00241	PAT
HGDP00243	PAT
HGDP00244	PAT
HGDP00247	PAT
HGDP00248	PAT
HGDP00251	PAT
HGDP00254	PAT
HGDP00258	PAT
HGDP00259	PAT
HGDP00262	PAT
HGDP00264	PAT
HGDP00274	KAL
HGDP00277	KAL
HGDP00279	KAL
HGDP00281	KAL
HGDP00285	KAL
HGDP00286	KAL
HGDP00288	KAL
HGDP00290	KAL
HGDP00298	KAL
HGDP00302	KAL
HGDP00304	KAL
HGDP00307	KAL
HGDP00309	KAL
HGDP00311	KAL
HGDP00313	KAL
HGDP00315	KAL
HGDP00319	KAL
HGDP00323	KAL
HGDP00326	KAL
HGDP00328	KAL
HGDP00330	KAL
HGDP00333	KAL
HGDP00338	BUR
HGDP00341	BUR
HGDP00346	BUR
HGDP00351	BUR
HGDP00356	BUR
HGDP00359	BUR
HGDP00364	BUR
HGDP00371	BUR
HGDP00372	BUR
HGDP00376	BUR
HGDP00382	BUR
HGDP00388	BUR
HGDP00392	BUR
HGDP00397	BUR
HGDP00402	BUR
HGDP00407	BUR
HGDP00412	BUR
HGDP00417	BUR
HGDP00423	BUR
HGDP00428	BUR
HGDP00433	BUR
HGDP00438	BUR
HGDP00444	BUR
HGDP00445	BUR
HGDP00452	BIA
HGDP00453	BIA
HGDP00454	BIA
HGDP00455	BIA
HGDP00457	BIA
HGDP00458	BIA
HGDP00459	BIA
HGDP00460	BIA
HGDP00461	BIA
HGDP00464	BIA
HGDP00466	BIA
HGDP00469	BIA
HGDP00470	BIA
HGDP00472	BIA
HGDP00473	BIA
HGDP00475	BIA
HGDP00479	BIA
HGDP00511	FRE
HGDP00512	FRE
HGDP00513	FRE
HGDP00514	FRE
HGDP00515	FRE
HGDP00516	FRE
HGDP00517	FRE
HGDP00518	FRE
HGDP00519	FRE
HGDP00520	FRE
HGDP00521	FRE
HGDP00522	FRE
HGDP00523	FRE
HGDP00524	FRE
HGDP00525	FRE
HGDP00526	FRE
HGDP00527	FRE
HGDP00528	FRE
HGDP00529	FRE
HGDP00530	FRE
HGDP00531	FRE
HGDP00533	FRE
HGDP00534	FRE
